code,target_url
i9vqrjgv,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=i9vqrjgv
zbw5qt6z,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=zbw5qt6z
jzqurw2u,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=jzqurw2u
myxv7te9,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=myxv7te9
5qgzgjk5,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=5qgzgjk5
xzbkyn6c,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=xzbkyn6c
zza435cf,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=zza435cf
e3u7mw5n,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=e3u7mw5n
y4cjbfyq,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=y4cjbfyq
xfe42xe5,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=xfe42xe5
fkkdb75k,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=fkkdb75k
ht58bm56,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=ht58bm56
kxwbb8sn,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=kxwbb8sn
2pw873w8,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=2pw873w8
6skha72m,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=6skha72m
jgbbu5n6,https://podlog.io/?utm_source=s4l&utm_medium=post&utm_campaign=podlog&utm_term=twitter&utm_content=jgbbu5n6
